,University,Program,Criminal Record,Scholarship,Income
476,2,0,1,3,high
477,3,0,0,1,high
478,0,1,1,1,mid
479,3,1,1,2,low
480,3,3,1,3,mid
481,4,2,0,0,mid
482,4,3,0,2,mid
483,4,3,0,1,mid
484,3,0,1,0,high
485,1,4,0,0,mid
486,4,1,0,3,low
487,5,1,0,2,low
488,5,3,0,1,mid
489,4,0,1,2,high
490,1,4,1,0,mid
491,0,2,1,0,mid
492,3,3,0,2,mid
493,1,0,1,2,high
494,2,4,1,0,mid
495,2,0,1,1,high
496,0,4,0,0,mid
497,3,3,1,2,mid
498,0,0,1,3,high
499,3,0,0,0,high
500,5,0,1,1,high
501,2,4,1,1,mid
502,4,1,0,2,low
503,4,3,1,1,mid
504,2,2,1,1,mid
505,5,4,0,2,mid
506,2,0,0,0,high
507,2,0,1,1,high
508,2,2,0,1,mid
509,3,0,0,3,high
510,0,4,1,1,mid
511,5,0,0,2,high
512,2,0,1,1,high
513,3,0,1,1,high
514,0,2,1,0,mid
515,2,4,0,0,mid
516,1,0,1,0,high
517,2,3,1,2,mid
518,1,4,1,1,mid
519,0,3,0,1,mid
520,2,1,0,2,low
521,5,1,1,1,mid
522,4,0,0,0,high
523,4,4,0,0,mid
524,1,1,0,3,mid
525,0,0,1,3,high
526,2,3,0,2,mid
527,0,4,1,0,mid
528,4,1,0,1,low
529,4,3,0,0,mid
530,0,1,0,2,low
531,3,4,0,1,mid
532,4,3,0,0,mid
533,2,0,0,0,high
534,3,1,1,2,mid
535,4,0,0,0,high
536,4,2,0,2,mid
537,4,1,1,3,mid
538,4,3,1,1,mid
539,4,0,0,3,high
540,0,4,0,0,mid
541,2,1,0,1,low
542,1,3,1,2,mid
543,4,0,1,3,high
544,3,2,0,0,mid
545,5,4,0,0,mid
546,1,0,1,2,high
547,3,1,1,0,low
548,3,1,1,0,low
549,0,0,1,1,high
550,0,4,0,0,mid
551,5,3,1,0,mid
552,1,0,0,2,high
553,3,4,0,0,mid
554,1,3,0,2,mid
555,2,0,1,2,high
556,2,2,1,0,mid
557,4,4,0,0,mid
558,4,1,1,0,low
559,4,0,0,1,high
560,0,1,0,2,mid
561,2,4,1,3,mid
562,5,1,0,2,low
563,1,1,1,2,low
564,0,0,0,3,high
565,3,2,1,0,mid
566,5,1,1,3,low
567,2,3,0,1,mid
568,5,2,1,2,mid
569,5,0,0,3,high
570,5,3,1,0,mid
571,1,0,0,2,high
572,4,1,1,3,low
573,2,1,0,0,low
574,0,3,0,1,mid
575,1,2,1,0,mid
576,2,2,1,0,mid
577,4,1,0,0,low
578,5,3,0,2,mid
579,3,1,0,3,low
580,0,2,0,2,mid
581,4,4,1,0,mid
582,2,0,0,1,high
583,2,4,1,2,mid
584,1,3,1,0,mid
585,1,2,0,3,mid
586,4,3,0,0,mid
587,1,4,0,0,mid
588,5,2,0,3,mid
589,2,1,0,1,low
590,2,1,0,3,mid
591,1,3,0,1,mid
592,0,3,1,1,mid
593,1,2,0,0,mid
594,4,2,1,0,mid
595,1,0,1,3,high
596,3,4,0,3,mid
597,3,2,1,3,mid
598,3,4,0,1,low
599,0,4,0,0,mid
600,3,2,0,1,mid
601,0,1,1,1,mid
602,4,3,1,0,mid
603,3,4,1,1,mid
604,2,2,0,2,mid
605,4,4,1,2,mid
606,5,1,1,0,mid
607,1,1,0,0,mid
608,5,2,1,3,mid
609,2,3,0,2,mid
610,1,4,1,0,mid
611,3,4,1,0,mid
612,5,0,1,2,high
613,2,1,0,3,mid
614,4,4,0,3,mid
615,3,3,1,0,mid
616,2,0,0,0,high
617,3,4,1,3,mid
618,4,2,0,1,mid
619,4,2,0,0,mid
620,1,4,1,3,mid
621,2,0,1,1,high
622,5,1,0,2,mid
623,5,4,1,1,mid
624,2,0,0,1,high
625,1,3,1,3,mid
626,1,2,0,2,mid
627,5,0,0,1,high
628,1,0,1,1,high
629,4,2,0,2,mid
630,5,4,1,1,mid
631,2,1,0,3,mid
632,2,4,0,0,mid
633,0,1,1,2,low
634,4,2,1,1,mid
635,3,3,1,1,mid
636,3,0,0,0,high
637,3,0,0,1,high
638,0,3,0,3,mid
639,3,3,1,3,mid
640,3,0,1,2,high
641,3,4,0,3,mid
642,5,3,1,1,mid
643,3,2,1,0,mid
644,3,4,1,1,mid
645,4,4,1,3,mid
646,4,4,1,1,mid
647,0,2,0,2,mid
648,5,2,1,3,mid
649,4,4,0,0,mid
650,0,3,0,2,mid
651,0,3,0,3,mid
652,5,0,1,3,high
653,0,3,1,0,mid
654,4,2,0,2,mid
655,5,4,0,1,mid
656,1,4,1,0,mid
657,1,3,1,3,mid
658,4,2,1,0,mid
659,5,0,1,2,high
660,4,3,0,2,mid
661,2,3,0,2,mid
662,0,0,0,3,high
663,2,0,1,2,high
664,1,2,1,1,mid
665,5,4,1,2,mid
666,0,2,0,0,mid
667,1,4,1,0,mid
668,5,1,1,1,mid
669,3,0,1,1,high
670,4,0,1,0,high
671,4,2,1,2,mid
672,4,3,0,1,mid
673,1,1,0,1,mid
674,5,0,0,1,high
675,2,3,1,0,mid
676,4,2,0,0,mid
677,1,1,0,1,low
678,1,4,0,3,mid
679,2,3,1,0,mid
680,0,2,0,0,mid
681,1,3,1,3,mid
682,3,2,0,3,mid
683,0,1,1,2,mid
684,1,1,1,1,low
685,4,3,0,2,mid
686,4,0,0,1,high
687,5,0,0,0,high
688,1,1,0,2,low
689,3,3,1,1,mid
690,0,0,1,1,high
691,4,3,0,0,mid
692,1,0,1,0,high
693,2,2,1,3,mid
694,1,0,1,3,high
695,0,1,0,3,low
696,1,2,1,0,mid
697,0,4,0,2,mid
698,5,3,1,3,mid
699,0,4,1,2,mid
700,1,0,1,2,high
701,5,2,0,1,mid
702,3,4,1,1,mid
703,2,3,1,2,mid
704,1,4,1,2,mid
705,0,4,0,1,mid
706,0,1,1,3,mid
707,0,2,0,0,mid
708,5,0,1,2,high
709,2,3,0,3,mid
710,3,2,1,0,mid
711,4,2,0,3,mid
712,1,4,1,0,mid
713,4,4,1,2,mid
714,0,0,0,2,high
715,3,0,1,1,high
716,2,3,0,2,mid
717,5,0,1,0,high
718,0,1,1,0,low
719,3,4,1,2,mid
720,3,3,0,1,mid
721,1,4,0,2,mid
722,2,2,1,1,mid
723,4,1,0,1,low
724,5,2,1,3,mid
725,0,3,0,0,mid
726,0,1,1,2,mid
727,1,0,0,1,high
728,1,2,0,3,mid
729,5,2,0,1,mid
730,1,0,0,1,high
731,4,2,0,0,mid
732,2,2,1,0,mid
733,3,4,1,3,mid
734,0,4,0,1,mid
735,3,3,0,0,mid
736,3,1,1,2,low
737,1,1,1,2,mid
738,5,4,1,2,mid
739,3,2,1,1,mid
740,0,2,1,1,mid
741,1,1,0,1,mid
742,0,3,0,2,mid
743,2,4,0,3,mid
744,3,3,0,3,mid
745,1,1,1,3,mid
746,4,2,1,3,mid
747,4,0,1,3,high
748,2,1,1,0,mid
749,0,1,1,1,mid
750,2,3,0,1,mid
751,4,0,0,3,high
752,5,3,0,1,mid
753,1,1,1,0,low
754,2,4,0,1,mid
755,4,2,1,0,mid
756,0,2,0,1,mid
757,1,3,0,1,mid
758,5,4,0,2,mid
759,4,2,1,3,mid
760,1,1,0,3,low
761,0,1,1,1,mid
762,4,4,0,3,mid
763,3,3,0,3,mid
764,0,3,1,0,mid
765,5,0,1,3,high
766,0,0,1,3,high
767,5,1,1,3,mid
768,3,0,1,0,high
769,4,2,1,1,mid
770,2,2,1,0,mid
771,3,1,1,2,low
772,3,0,1,3,high
773,0,4,1,3,mid
774,3,2,1,2,mid
775,5,0,1,3,high
776,3,3,1,2,mid
777,3,4,0,3,mid
778,4,2,0,2,mid
779,1,4,1,2,mid
780,2,1,0,3,mid
781,3,0,1,0,high
782,4,4,1,3,mid
783,1,2,0,1,mid
784,4,3,1,0,mid
785,0,1,1,3,low
786,4,4,1,2,mid
787,0,2,0,2,mid
788,1,3,1,1,mid
789,3,1,1,3,low
790,0,2,1,2,mid
791,4,3,1,0,mid
792,5,4,1,1,mid
793,3,4,0,0,mid
794,2,4,1,2,mid
795,0,2,0,3,mid
796,5,1,0,2,mid
797,4,4,1,1,mid
798,2,1,1,3,mid
799,0,3,0,0,mid
800,5,2,1,1,mid
801,4,0,0,3,high
802,5,3,0,2,mid
803,3,2,0,0,mid
804,3,3,0,2,mid
805,1,2,1,2,mid
806,5,1,0,1,mid
807,4,2,1,2,mid
808,2,0,0,2,high
809,5,3,0,2,mid
810,2,3,1,2,mid
811,3,0,1,1,high
812,2,0,0,2,high
813,1,3,0,0,mid
814,3,4,1,2,mid
815,5,2,0,1,mid
816,3,3,1,0,mid
817,3,0,0,0,high
818,0,4,0,1,mid
819,0,4,0,0,mid
820,2,2,1,3,mid
821,4,3,0,1,mid
822,5,4,1,3,mid
823,0,4,0,3,mid
824,5,4,1,1,mid
825,2,0,1,2,high
826,3,2,0,2,mid
827,3,1,0,2,low
828,4,3,0,3,mid
829,4,0,0,2,high
830,3,4,1,1,mid
831,5,0,0,1,high
832,2,3,1,2,mid
833,2,1,1,2,low
834,2,4,1,0,mid
835,2,3,1,0,mid
836,3,1,1,0,mid
837,1,3,0,2,mid
838,0,0,0,1,high
839,0,3,0,3,mid
840,5,2,1,0,mid
841,0,3,1,2,mid
842,3,2,1,3,mid
843,4,4,0,3,mid
844,5,1,1,0,mid
845,1,2,1,3,mid
846,4,3,0,3,mid
847,5,1,1,3,low
848,0,1,0,0,low
849,1,4,1,0,mid
850,1,1,1,0,low
851,4,4,1,3,mid
852,1,2,0,2,mid
853,4,1,1,0,mid
854,4,3,1,0,mid
855,5,0,0,2,high
856,0,2,0,3,mid
857,2,4,1,3,mid
858,3,1,0,1,mid
859,5,4,0,1,mid
860,2,1,1,1,low
861,5,4,1,0,mid
862,0,1,1,3,low
863,4,1,1,0,low
864,4,1,0,0,mid
865,3,0,0,3,high
866,1,3,1,0,mid
867,2,3,1,2,mid
868,5,1,0,2,low
869,4,1,0,1,low
870,5,0,1,3,high
871,0,2,1,3,mid
872,3,2,0,2,mid
873,1,0,1,0,high
874,1,1,0,0,low
875,4,4,1,1,mid
876,1,3,0,2,mid
877,5,3,1,0,mid
878,4,0,0,0,high
879,3,1,0,3,mid
880,3,1,0,2,mid
881,3,4,0,1,mid
882,4,2,0,2,mid
883,5,2,0,0,mid
884,4,1,1,3,low
885,3,3,1,1,mid
886,0,1,1,3,low
887,0,2,0,3,mid
888,3,2,0,0,mid
889,2,1,1,1,low
890,2,2,0,1,mid
891,1,4,0,3,mid
892,5,2,0,0,mid
893,3,2,0,2,mid
894,4,0,1,2,high
895,4,2,1,1,mid
896,0,1,1,1,low
897,2,1,0,1,mid
898,3,1,0,3,mid
899,0,1,0,0,low
900,4,4,1,2,mid
901,2,4,0,1,mid
902,5,2,1,0,mid
903,1,2,1,2,mid
904,2,2,0,1,mid
905,0,1,1,0,mid
906,5,3,0,0,mid
907,2,4,1,1,mid
908,5,3,0,3,mid
909,1,3,1,2,mid
910,4,4,1,1,mid
911,2,4,1,1,mid
912,5,3,1,3,mid
913,5,3,0,3,mid
914,1,1,0,1,low
915,0,2,1,2,mid
916,3,1,0,2,low
917,4,0,1,3,high
918,2,3,0,0,mid
919,0,1,1,1,low
920,3,4,1,1,mid
921,0,4,1,1,mid
922,2,3,1,3,mid
923,4,1,1,1,mid
924,4,4,1,2,mid
925,0,0,0,1,high
926,4,4,1,1,mid
927,0,3,0,1,mid
928,1,4,0,2,mid
929,2,4,1,0,mid
930,3,1,1,3,mid
931,2,0,1,0,high
932,3,4,0,1,mid
933,1,1,0,2,mid
934,5,3,0,3,mid
935,5,4,1,0,mid
936,1,1,0,1,low
937,2,4,0,0,mid
938,3,1,1,0,low
939,2,2,1,0,mid
940,5,1,0,3,low
941,5,1,1,3,low
942,2,2,1,0,mid
943,2,3,1,0,mid
944,5,1,1,3,mid
945,4,0,0,3,high
946,1,4,0,0,mid
947,5,4,1,3,mid
948,5,2,1,3,mid
949,1,0,1,3,high
950,2,4,0,2,mid
951,0,3,1,3,mid
952,5,1,1,0,low
953,0,2,1,2,mid
954,2,2,0,1,mid
955,2,0,1,2,high
956,5,1,1,2,mid
957,5,3,1,1,mid
958,1,4,0,0,mid
959,3,3,1,2,mid
960,1,1,0,3,mid
961,0,0,0,1,high
962,5,0,0,2,high
963,5,4,1,2,mid
964,1,0,0,3,high
965,2,0,0,1,high
966,0,0,1,1,high
967,0,0,1,2,high
968,2,1,0,3,low
969,0,3,0,3,mid
970,0,1,1,2,mid
971,4,1,1,1,low
972,0,1,1,0,low
973,2,1,1,1,low
974,1,1,1,0,mid
975,3,2,1,0,mid
976,5,0,0,0,high
977,0,1,1,2,mid
978,1,0,1,1,high
979,2,2,0,3,mid
980,3,4,1,3,mid
981,1,0,0,3,high
982,2,0,0,2,high
983,4,3,1,2,mid
984,5,1,1,3,mid
985,4,2,1,3,mid
986,5,4,1,2,mid
987,3,1,0,0,mid
988,4,1,0,2,low
989,5,3,1,1,mid
990,4,1,0,1,low
991,3,2,1,2,mid
992,5,4,0,2,mid
993,2,3,0,2,mid
994,2,3,1,0,mid
995,3,1,0,1,mid
996,5,2,0,3,mid
997,0,3,0,1,mid
998,0,2,1,1,mid
999,5,2,1,2,mid
1000,5,3,1,2,mid
1001,4,1,0,3,low
1002,4,2,0,1,mid
1003,3,4,1,3,mid
1004,5,3,0,3,mid
1005,3,0,0,3,high
1006,3,0,1,0,high
1007,3,4,1,3,mid
1008,2,3,0,2,mid
1009,5,4,0,2,mid
1010,1,1,1,3,low
1011,1,4,1,1,mid
1012,5,4,1,1,mid
1013,3,2,0,0,mid
1014,2,4,1,0,mid
1015,2,2,1,2,mid
1016,3,1,1,1,mid
1017,3,2,0,0,mid
1018,0,4,1,2,mid
1019,4,1,0,1,mid
1020,3,1,0,1,mid
1021,2,1,1,1,low
1022,5,4,1,3,mid
1023,2,0,0,3,high
1024,5,4,1,3,mid
1025,2,1,1,0,low
1026,3,4,0,3,mid
1027,5,4,0,2,mid
1028,0,2,1,1,mid
1029,1,2,1,3,mid
1030,2,2,1,2,mid
1031,2,4,0,1,mid
1032,1,3,1,0,mid
1033,4,0,0,3,high
1034,5,2,0,2,mid
1035,2,1,0,3,mid
1036,0,1,0,1,mid
1037,1,3,0,2,mid
1038,3,4,0,3,mid
1039,4,1,1,3,mid
1040,3,3,1,0,mid
1041,3,4,0,3,mid
1042,0,0,0,2,high
1043,5,2,1,0,mid
1044,4,1,1,2,low
1045,2,1,0,1,mid
1046,3,0,1,0,high
1047,1,1,1,2,low
1048,1,0,1,2,high
1049,0,4,0,3,mid
1050,1,4,0,1,mid
1051,1,0,1,2,high
1052,3,4,1,3,mid
1053,4,1,1,1,mid
1054,5,0,0,0,high
1055,1,2,1,2,mid
1056,3,2,1,0,mid
1057,5,1,0,3,low
1058,3,2,1,3,mid
1059,0,2,0,1,mid
1060,0,4,0,3,mid
1061,5,3,0,2,mid
1062,3,3,1,1,mid
1063,5,3,1,2,mid
1064,3,3,0,1,mid
1065,0,1,0,0,mid
1066,1,2,1,0,mid
1067,2,2,1,0,mid
1068,5,2,0,0,mid
1069,0,1,0,3,mid
1070,3,1,1,1,mid
1071,3,4,1,3,mid
1072,0,0,1,3,high
1073,5,3,0,3,mid
1074,3,3,0,3,mid
1075,4,2,1,2,mid
1076,0,1,0,0,mid
1077,2,1,1,3,mid
1078,5,2,0,0,mid
1079,0,4,1,0,mid
1080,0,3,1,1,mid
1081,5,0,0,1,high
1082,5,3,1,2,mid
1083,2,4,0,3,mid
1084,1,2,1,1,mid
1085,4,3,1,3,mid
1086,1,4,0,3,mid
1087,3,2,1,1,mid
1088,4,2,1,2,mid
1089,1,3,0,2,mid
1090,1,1,0,1,mid
